ID,LONGDIST,International,LOCAL,DROPPED,PAY_MTHD,LocalBillType,LongDistanceBillType,AGE,SEX,STATUS,CHILDREN,Est_Income,Car_Owner,No phone lines
1047,13.725700,0.000000,11.657900,0,"Auto","FreeLocal","Standard",45,"M","M",1,98453.600000,"Y",
1048,20.747800,0.000000,24.522100,0,"CC","Budget","Standard",20,"M","S",2,68140.500000,"N",
1049,5.985800,7.960220,85.210000,0,"CC","FreeLocal","Standard",42,"M","M",0,4324.220000,"N",
1050,25.105200,8.390150,38.651500,0,"Auto","FreeLocal","Intnl_discount",82,"F","S",0,65670.000000,"Y",
1051,24.299800,0.000000,64.836300,0,"CH","FreeLocal","Standard",60,"M","S",0,3184.420000,"N",
1052,22.691800,0.000000,74.898600,0,"CC","Budget","Standard",77,"F","S",0,70460.300000,"Y",
1053,8.864990,4.436760,43.643900,0,"CH","Budget","Intnl_discount",55,"M","S",2,85753.800000,"N",
1054,14.673700,6.332310,15.922300,0,"CC","FreeLocal","Standard",69,"F","S",0,86735.500000,"N",
1055,2.017250,0.000000,189.518000,0,"Auto","FreeLocal","Standard",87,"M","S",0,32683.900000,"Y",
1056,22.181700,0.000000,149.731000,0,"CC","FreeLocal","Standard",41,"M","S",1,52231.500000,"N",
1057,21.351100,0.000000,45.706500,0,"CC","FreeLocal","Intnl_discount",70,"F","S",0,87788.700000,"Y",
1058,2.330030,5.307870,23.467600,0,"Auto","Budget","Intnl_discount",79,"M","M",2,5265.350000,"N",
1059,5.357320,0.000000,27.142700,0,"CC","Budget","Standard",23,"F","M",1,22767.000000,"Y",
1060,0.000000,0.000000,4.422110,0,"CH","Budget","Intnl_discount",62,"F","S",2,5197.000000,"N",
1061,26.430600,6.180070,51.405800,0,"CC","Budget","Standard",19,"F","S",1,71906.800000,"N",
1062,24.596700,0.000000,76.639000,0,"CC","Budget","Standard",95,"F","S",2,7659.090000,"N",
1063,29.709800,5.312090,202.438000,0,"CC","FreeLocal","Standard",47,"F","M",1,63778.300000,"Y",
1064,3.284500,0.000000,8.224460,0,"Auto","Budget","Standard",42,"M","M",0,57042.200000,"N",
1065,5.246400,7.515100,86.327800,0,"CH","FreeLocal","Standard",57,"F","M",2,27535.300000,"Y",
1066,4.727760,0.000000,81.005500,0,"Auto","FreeLocal","Standard",33,"F","S",2,1144.360000,"Y",
1067,15.281100,1.842840,49.510100,0,"Auto","Budget","Standard",77,"M","S",0,81875.800000,"N",
1068,24.835600,0.000000,81.981600,0,"CH","FreeLocal","Standard",44,"F","M",2,92285.400000,"N",
1069,2.936940,0.000000,165.434000,0,"CC","FreeLocal","Intnl_discount",48,"M","M",1,3793.730000,"N",
1070,13.562600,0.000000,35.842100,0,"Auto","FreeLocal","Standard",77,"M","M",2,68704.300000,"Y",
1071,24.386500,0.000000,48.383200,0,"CC","FreeLocal","Intnl_discount",51,"F","M",1,53676.800000,"Y",
1072,25.420800,0.000000,56.086100,0,"CH","Budget","Intnl_discount",34,"F","S",0,91147.500000,"N",
1073,14.770200,0.000000,63.900800,0,"CC","FreeLocal","Standard",56,"F","M",0,58641.200000,"N",
1074,9.395590,0.000000,13.900300,0,"CH","FreeLocal","Standard",90,"M","S",2,81997.000000,"N",
1075,13.963800,0.000000,7.733670,0,"CH","Budget","Intnl_discount",43,"M","M",1,15425.300000,"Y",
1076,28.576500,0.000000,91.573000,0,"CC","Budget","Standard",75,"M","M",0,47131.500000,"N",
1077,29.293900,5.732820,68.033700,0,"CC","Budget","Intnl_discount",57,"M","S",2,54369.100000,"N",
1078,22.528200,0.000000,38.359400,0,"CC","FreeLocal","Standard",60,"F","M",2,21380.900000,"N",
1079,0.000000,0.000000,3.018420,0,"Auto","Budget","Standard",93,"M","M",2,90189.100000,"N",
1080,14.045500,4.429420,114.323000,0,"CC","Budget","Standard",92,"F","S",2,47396.200000,"N",
1081,19.885100,9.577470,19.208400,0,"CH","Budget","Standard",75,"F","M",2,25738.400000,"N",
1082,0.000000,0.000000,3.805850,0,"CC","Budget","Standard",25,"F","M",1,10107.700000,"Y",
1083,14.573000,0.000000,38.225400,0,"CH","Budget","Standard",25,"M","S",2,56861.800000,"N",
1084,22.559800,0.000000,410.611000,0,"CH","FreeLocal","Intnl_discount",24,"F","S",2,98226.200000,"Y",
1085,4.808910,0.000000,52.042900,0,"CC","FreeLocal","Intnl_discount",91,"F","M",2,8502.990000,"N",
1086,0.000000,0.000000,3.001480,1,"CC","FreeLocal","Standard",93,"F","M",2,96926.200000,"N",
1087,1.866430,0.000000,12.138700,0,"CC","Budget","Standard",66,"F","M",2,28384.500000,"Y",
1088,29.344600,0.000000,49.549100,0,"CC","FreeLocal","Standard",57,"F","M",2,45488.300000,"N",
1089,2.537630,8.899750,73.973200,0,"Auto","Budget","Standard",64,"M","S",0,53919.900000,"N",
1090,23.500900,4.915530,59.850300,0,"CC","FreeLocal","Standard",21,"F","M",0,64236.800000,"N",
1091,2.476510,0.000000,21.583500,0,"CC","FreeLocal","Intnl_discount",83,"M","S",0,52774.000000,"N",
1092,8.406180,8.637220,86.649700,0,"CC","Budget","Intnl_discount",55,"M","S",2,69710.900000,"Y",
1093,15.305200,0.000000,8.552390,0,"CC","Budget","Standard",49,"M","S",1,63230.300000,"N",
1094,25.711000,0.000000,15.603000,0,"CC","Budget","Standard",36,"F","S",0,58488.300000,"Y",
1095,27.974900,0.000000,58.092100,0,"Auto","Budget","Standard",62,"F","S",2,28787.400000,"N",
1096,28.164200,0.000000,249.961000,0,"CC","FreeLocal","Standard",86,"F","S",2,84453.100000,"N",
1097,2.720720,0.000000,80.269400,0,"CH","Budget","Standard",88,"F","M",1,96090.200000,"N",
1098,2.826110,0.000000,40.245900,0,"CC","FreeLocal","Intnl_discount",49,"M","S",1,29894.400000,"N",
1099,24.892100,0.000000,28.823100,0,"CC","Budget","Standard",22,"M","S",1,27778.200000,"N",
1100,22.293600,0.000000,16.959700,0,"CC","FreeLocal","Standard",74,"F","S",0,94582.300000,"N",
1101,17.261500,0.000000,75.583400,0,"Auto","FreeLocal","Standard",91,"M","S",2,61766.700000,"Y",
1102,11.974200,0.000000,30.629100,0,"Auto","Budget","Intnl_discount",61,"M","M",0,95132.700000,"N",
1103,0.178787,0.000000,6.512630,0,"CC","FreeLocal","Intnl_discount",62,"F","M",0,37121.700000,"Y",
1104,21.450600,0.000000,55.466300,1,"CC","Budget","Standard",88,"F","S",2,94665.200000,"N",
1105,27.590700,0.000000,84.985800,0,"Auto","Budget","Standard",22,"F","M",1,46801.200000,"Y",
1106,13.640300,0.000000,16.206900,0,"Auto","Budget","Intnl_discount",70,"F","S",2,15080.400000,"N",
1107,22.891700,0.000000,22.186600,0,"CH","Budget","Intnl_discount",52,"F","M",1,70002.400000,"N",
1108,13.241300,0.000000,81.583000,0,"CC","FreeLocal","Intnl_discount",96,"M","S",2,57814.500000,"N",
1109,27.331700,0.000000,23.860200,0,"Auto","FreeLocal","Intnl_discount",86,"F","S",2,92885.900000,"N",
1110,1.516170,0.000000,94.979400,0,"CC","Budget","Standard",61,"F","M",0,10878.500000,"N",
1111,0.000000,0.000000,0.663462,0,"CC","Budget","Standard",83,"M","M",2,45985.200000,"N",
1112,28.197400,9.531320,13.987700,0,"Auto","Budget","Standard",28,"F","M",2,63328.800000,"N",
1113,12.007900,0.000000,62.225900,0,"CH","Budget","Standard",67,"M","S",0,9448.620000,"Y",
1114,20.940800,0.000000,13.913500,0,"CC","FreeLocal","Standard",73,"M","S",2,73240.300000,"N",
1115,11.059000,0.000000,30.233100,0,"CC","Budget","Standard",29,"M","M",1,69294.700000,"Y",
1116,23.243500,1.049090,34.099400,0,"Auto","FreeLocal","Standard",61,"M","M",1,83039.200000,"Y",
1117,0.000000,0.000000,2.983680,0,"CH","FreeLocal","Intnl_discount",68,"M","M",0,14955.800000,"N",
1118,16.345200,0.000000,15.245500,0,"CC","FreeLocal","Standard",58,"M","M",0,64789.800000,"N",
1119,14.817800,0.000000,99.518500,0,"CH","Budget","Standard",83,"M","S",1,65867.100000,"N",
1120,15.009400,0.000000,45.925700,0,"Auto","Budget","Standard",95,"M","M",2,21213.000000,"N",
1121,29.271800,6.331150,109.855000,0,"CH","FreeLocal","Standard",29,"M","S",0,18861.600000,"Y",
1122,6.634020,0.000000,18.257200,0,"CC","FreeLocal","Standard",39,"F","S",2,83996.900000,"N",
1123,0.000000,0.000000,3.076550,0,"CC","FreeLocal","Standard",77,"F","S",2,79972.600000,"Y",
1124,17.915200,0.000000,6.012300,0,"CC","FreeLocal","Standard",26,"M","S",2,19998.400000,"N",
1125,0.000000,0.000000,1.602450,1,"Auto","Budget","Standard",69,"M","M",0,62150.400000,"N",
1126,9.558840,0.000000,150.243000,0,"CC","Budget","Standard",65,"F","M",0,58345.800000,"N",
1127,2.359480,0.000000,36.908200,0,"CH","FreeLocal","Intnl_discount",61,"M","M",1,15865.500000,"N",
1128,17.449700,4.940780,49.923500,1,"Auto","FreeLocal","Standard",39,"F","M",2,47902.000000,"N",
1129,27.084100,0.000000,15.143300,0,"CC","Budget","Standard",94,"M","M",2,49022.900000,"N",
1130,26.990400,0.000000,33.716700,1,"CC","Budget","Standard",23,"F","S",1,76659.200000,"N",
1131,4.786220,0.000000,60.838400,0,"CH","Budget","Intnl_discount",54,"M","M",0,4755.270000,"N",
1132,7.269110,0.000000,9.429430,0,"CH","FreeLocal","Standard",94,"M","S",2,22685.300000,"Y",
1133,18.511900,0.000000,27.371100,0,"CC","FreeLocal","Standard",97,"M","S",1,57347.600000,"Y",
1134,19.062500,0.358172,15.982600,1,"Auto","Budget","Standard",40,"M","M",1,62789.900000,"N",
1135,0.439191,0.000000,122.379000,0,"Auto","FreeLocal","Standard",74,"M","S",1,94449.500000,"N",
1136,5.387600,0.000000,91.068700,0,"Auto","FreeLocal","Standard",94,"F","M",1,66755.600000,"N",
1137,15.334900,0.000000,61.856800,0,"CC","FreeLocal","Standard",21,"F","M",1,73138.800000,"Y",
1138,5.490320,0.000000,65.426200,1,"Auto","Budget","Standard",19,"F","M",1,99261.800000,"Y",
1139,8.940790,0.985628,70.816600,1,"Auto","FreeLocal","Standard",29,"M","M",1,38230.400000,"N",
1140,8.712800,0.000000,45.640600,0,"CH","FreeLocal","Standard",79,"M","M",0,61985.600000,"N",
1141,14.100500,0.000000,17.537000,0,"CH","FreeLocal","Intnl_discount",94,"F","S",1,51269.900000,"Y",
1142,16.922100,0.000000,93.299400,0,"CC","FreeLocal","Intnl_discount",83,"M","S",2,65330.200000,"Y",
1143,16.213000,0.000000,145.631000,0,"CC","FreeLocal","Standard",40,"F","S",1,26756.600000,"N",
1144,0.000000,0.000000,3.622810,0,"Auto","Budget","Standard",37,"F","M",1,25541.800000,"N",
1145,5.134020,0.000000,69.798600,0,"CH","Budget","Standard",75,"F","M",1,55187.600000,"N",
1146,13.664000,2.956420,32.638100,0,"CC","FreeLocal","Intnl_discount",60,"M","M",2,83220.600000,"N",1
1147,11.814800,0.000000,26.818400,0,"CC","FreeLocal","Standard",76,"M","S",1,91607.400000,"N",
1148,7.665460,0.000000,83.077600,0,"Auto","FreeLocal","Standard",47,"M","M",2,90070.500000,"N",
1149,0.000000,0.000000,0.266878,1,"CH","Budget","Standard",77,"M","M",0,26266.300000,"Y",
1150,2.408230,0.000000,50.506900,0,"Auto","Budget","Standard",61,"F","M",2,30998.800000,"N",
1151,23.257200,0.000000,19.188200,0,"CC","FreeLocal","Intnl_discount",26,"M","S",2,14785.700000,"N",
1152,23.561800,0.000000,21.117400,0,"CH","Budget","Standard",75,"M","M",2,71035.400000,"N",
1153,25.463700,0.000000,43.911600,0,"Auto","FreeLocal","Intnl_discount",46,"M","M",0,10689.400000,"N",
1154,9.574400,0.000000,85.111800,0,"CC","FreeLocal","Standard",39,"M","S",2,32272.700000,"N",
1155,0.000000,0.000000,2.855770,0,"Auto","Budget","Intnl_discount",59,"M","M",2,18686.300000,"N",
1156,0.000000,0.000000,3.266160,0,"CC","Budget","Intnl_discount",54,"F","M",2,1370.080000,"N",
1157,0.000000,0.000000,2.766100,0,"CC","FreeLocal","Standard",55,"F","M",1,26340.700000,"Y",
1158,8.317620,0.000000,29.315800,0,"CC","FreeLocal","Standard",78,"F","M",0,16840.700000,"N",
1159,18.747800,0.000000,7.622160,0,"CC","Budget","Intnl_discount",21,"M","M",0,57596.100000,"N",
1160,0.268394,0.000000,25.793300,0,"CC","FreeLocal","Standard",70,"M","S",2,14799.800000,"N",
1161,0.514513,1.882050,21.864900,0,"CH","FreeLocal","Standard",39,"F","M",0,86770.400000,"N",
1162,16.640700,0.000000,58.530100,0,"CH","Budget","Intnl_discount",30,"F","M",2,36740.700000,"N",
1163,24.181000,0.000000,33.466900,0,"CC","Budget","Standard",48,"F","M",0,24737.800000,"N",
1164,14.112600,0.000000,54.553700,0,"CC","FreeLocal","Intnl_discount",37,"F","S",0,47732.000000,"Y",
1165,21.519700,0.000000,19.190000,0,"CC","FreeLocal","Intnl_discount",41,"M","M",0,59898.400000,"N",
1166,9.518820,0.000000,66.098200,0,"CC","Budget","Standard",53,"M","M",2,17246.000000,"Y",
1167,5.353610,0.000000,42.459500,0,"CC","Budget","Intnl_discount",43,"M","M",0,12439.400000,"N",
1168,3.858890,0.000000,20.853600,0,"CH","FreeLocal","Standard",62,"M","S",1,47503.900000,"N",
1169,14.735900,0.000000,35.782200,0,"Auto","Budget","Standard",77,"M","M",0,31852.400000,"N",
1170,20.621300,0.095334,69.552400,0,"CC","Budget","Standard",31,"M","S",1,28464.000000,"Y",
1171,6.992830,0.000000,75.487400,0,"CC","Budget","Standard",18,"M","S",2,87708.000000,"N",
1172,5.334410,0.000000,33.210500,0,"Auto","Budget","Standard",21,"F","M",2,82056.600000,"N",
1173,28.617300,0.000000,59.516700,0,"CC","Budget","Standard",97,"M","M",2,47333.300000,"N",
1174,4.955450,0.000000,30.898400,3,"CH","FreeLocal","Standard",83,"F","S",1,96112.100000,"Y",1
1175,22.298500,0.000000,15.581800,0,"CC","Budget","Standard",19,"F","M",0,26619.800000,"N",
1176,15.996800,3.053570,32.486200,1,"CC","FreeLocal","Intnl_discount",93,"M","S",1,14258.400000,"Y",
1177,29.890500,0.000000,37.416900,0,"CC","Budget","Standard",81,"F","S",0,54486.500000,"N",
1178,23.308500,0.000000,83.498000,0,"CC","FreeLocal","Standard",59,"M","S",0,33912.400000,"Y",
1179,20.125100,0.000000,92.634000,0,"CC","FreeLocal","Intnl_discount",56,"M","S",2,86258.600000,"N",
1180,20.414200,0.000000,81.482600,0,"CC","FreeLocal","Standard",86,"F","M",0,85180.100000,"N",
1181,27.989800,0.000000,11.629100,0,"CC","FreeLocal","Standard",57,"F","M",1,4875.250000,"N",
1182,20.383200,0.000000,31.871300,0,"Auto","FreeLocal","Standard",37,"M","S",2,34524.700000,"Y",
1183,10.607600,0.125065,159.885000,0,"Auto","Budget","Intnl_discount",40,"M","S",2,88943.900000,"N",
1184,3.332020,0.000000,40.635200,1,"Auto","Budget","Standard",22,"F","M",1,91390.600000,"N",
1185,0.000000,0.000000,0.738430,0,"Auto","FreeLocal","Standard",68,"M","M",0,41486.400000,"Y",
1186,19.043200,0.000000,29.399100,0,"CH","FreeLocal","Standard",47,"M","S",0,64295.200000,"Y",
1187,16.355800,0.000000,26.878200,0,"CC","FreeLocal","Intnl_discount",84,"M","M",0,94243.800000,"N",
1188,24.034800,0.000000,48.055800,0,"CC","FreeLocal","Intnl_discount",84,"F","S",2,32964.200000,"N",
1189,0.000000,0.000000,1.185500,0,"CC","FreeLocal","Intnl_discount",48,"F","S",2,60908.100000,"N",
1190,25.628700,0.000000,9.447460,0,"Auto","FreeLocal","Standard",89,"F","M",0,62229.600000,"N",
1191,10.229200,8.005080,139.482000,0,"CC","FreeLocal","Standard",77,"M","M",0,31650.000000,"Y",
1192,1.192480,0.000000,22.606700,0,"Auto","Budget","Standard",81,"M","M",2,57898.500000,"N",
1193,13.324500,8.053170,56.646800,0,"CC","Budget","Standard",73,"F","M",2,5237.630000,"N",
1194,22.903600,2.151110,22.629800,0,"CH","Budget","Standard",55,"M","S",2,33377.300000,"N",
1195,11.968400,0.000000,25.585000,0,"CC","FreeLocal","Standard",66,"M","M",2,76161.400000,"Y",
1196,25.209000,0.000000,58.425400,0,"Auto","FreeLocal","Standard",80,"F","S",0,65209.600000,"Y",
1197,0.000000,0.000000,3.950160,0,"CH","Budget","Standard",95,"F","M",0,11020.300000,"N",
1198,14.435300,0.000000,35.207200,0,"CC","FreeLocal","Standard",34,"F","S",2,76578.700000,"Y",
1199,12.199100,0.000000,109.798000,0,"CC","FreeLocal","Standard",85,"M","M",0,18909.500000,"Y",
1200,23.569100,0.000000,21.684400,0,"Auto","FreeLocal","Standard",83,"M","M",1,68290.800000,"Y",
1201,27.438400,6.662210,39.697200,0,"CC","Budget","Standard",81,"F","M",2,94159.900000,"N",
1202,8.051250,0.000000,200.647000,0,"CH","Budget","Standard",58,"M","M",0,59597.900000,"N",
1203,7.681730,0.000000,22.608500,0,"CC","FreeLocal","Standard",57,"M","M",1,57272.700000,"N",
1204,27.772800,0.000000,91.094700,0,"CC","FreeLocal","Intnl_discount",94,"F","S",2,42983.300000,"N",
1205,0.000000,0.000000,0.583171,0,"CC","Budget","Intnl_discount",78,"F","M",2,62685.000000,"N",
1206,28.953700,0.000000,19.057500,0,"CC","FreeLocal","Standard",50,"F","S",2,21396.200000,"Y",
1207,26.348300,4.593370,86.095600,0,"CC","Budget","Standard",73,"F","S",0,78564.700000,"N",
1208,29.922400,0.000000,8.797720,0,"CH","Budget","Intnl_discount",60,"F","S",0,93322.100000,"Y",
1209,16.152600,0.000000,145.353000,0,"CC","Budget","Standard",62,"F","S",0,72358.600000,"Y",
1210,0.000000,0.000000,1.855180,1,"CH","Budget","Standard",63,"M","S",0,37120.000000,"Y",
1211,6.672700,0.000000,7.787480,0,"CC","FreeLocal","Intnl_discount",50,"F","M",0,63306.600000,"Y",
1212,2.421640,9.186860,41.166100,0,"CH","Budget","Intnl_discount",48,"M","S",0,81420.000000,"N",
1213,10.447600,0.000000,10.808700,1,"CH","Budget","Standard",22,"F","M",1,,"N",
1214,19.559300,7.764320,55.654000,0,"CH","Budget","Standard",25,"F","S",0,,"Y",
1215,28.793000,0.000000,107.569000,0,"Auto","Budget","Standard",49,"M","S",0,9414.820000,"N",
1216,17.345300,0.000000,95.973300,0,"CC","Budget","Intnl_discount",93,"F","M",1,20013.200000,"Y",
1217,12.000400,0.000000,150.856000,0,"CC","FreeLocal","Standard",66,"M","M",1,31672.400000,"N",
1218,6.253160,0.000000,24.717400,0,"CC","FreeLocal","Standard",27,"F","S",2,13094.800000,"N",
1219,14.766400,0.000000,101.051000,2,"CC","FreeLocal","Standard",25,"M","S",2,51268.500000,"Y",1
1220,0.000000,0.000000,4.619500,0,"CC","FreeLocal","Standard",21,"M","S",0,23893.900000,"N",
1221,4.505720,0.000000,16.355400,0,"CC","Budget","Standard",83,"F","S",1,78854.900000,"N",
1222,16.189200,0.000000,24.430200,0,"CC","Budget","Standard",34,"M","M",2,14794.300000,"Y",
1223,5.230540,0.000000,28.395100,0,"CC","Budget","Standard",62,"M","M",1,57974.800000,"Y",
1224,14.794400,0.000000,36.677800,0,"CC","FreeLocal","Intnl_discount",68,"F","M",1,97318.600000,"Y",
1225,13.697300,0.000000,74.180200,1,"CH","Budget","Standard",90,"F","S",2,97445.200000,"Y",
1226,15.537300,0.000000,57.324700,0,"CH","FreeLocal","Intnl_discount",80,"M","S",1,15060.600000,"Y",
1227,21.118900,0.000000,5.256870,0,"CH","FreeLocal","Standard",66,"F","S",2,43654.400000,"N",
1228,0.437200,0.000000,234.595000,0,"CH","FreeLocal","Intnl_discount",72,"M","S",1,95935.200000,"N",
1229,7.463370,0.000000,18.699200,0,"CC","FreeLocal","Intnl_discount",79,"M","M",0,34994.100000,"N",
1230,18.897500,0.000000,33.316400,0,"CC","FreeLocal","Standard",95,"M","M",0,585.791000,"N",
1231,11.046500,0.000000,285.176000,0,"Auto","FreeLocal","Standard",49,"M","M",2,90414.900000,"Y",
1232,25.193400,8.895030,86.229300,1,"CC","Budget","Intnl_discount",74,"M","M",1,47927.100000,"N",
1233,20.568800,3.274430,23.342000,0,"CC","Budget","Standard",18,"F","M",1,9925.680000,"N",
1234,7.058530,0.000000,20.352000,0,"CH","Budget","Standard",49,"M","S",0,60282.800000,"N",
1235,0.000000,0.000000,0.085681,0,"CH","FreeLocal","Intnl_discount",79,"F","M",1,18442.800000,"N",
1236,17.842100,9.490840,89.767100,0,"CC","Budget","Standard",70,"F","S",0,58384.300000,"N",
1237,19.875500,0.000000,91.956600,0,"Auto","FreeLocal","Standard",82,"F","M",0,38687.200000,"N",
1238,0.000000,0.000000,2.608410,0,"CC","FreeLocal","Intnl_discount",79,"M","S",1,16203.500000,"Y",
1239,1.602770,7.603190,22.539500,0,"CH","Budget","Intnl_discount",92,"M","M",0,92093.000000,"Y",
1240,13.938300,6.611650,78.217000,0,"CC","FreeLocal","Standard",68,"F","M",1,81641.200000,"Y",
1241,14.400000,0.000000,20.970000,0,"CC","Budget","Standard",49,"F","M",2,48334.100000,"N",
1242,15.746100,0.000000,32.845700,0,"CC","FreeLocal","Intnl_discount",39,"F","M",1,46736.000000,"N",
1243,6.124300,0.000000,14.785900,0,"CH","FreeLocal","Standard",58,"M","M",1,4054.550000,"Y",
1244,21.435700,0.000000,27.620200,0,"Auto","Budget","Standard",53,"F","S",2,4089.590000,"N",
1245,29.982000,0.000000,146.441000,0,"CH","Budget","Intnl_discount",72,"F","M",1,74263.800000,"N",
1246,23.184000,5.534970,72.957700,0,"CC","Budget","Standard",32,"M","M",0,54430.200000,"Y",
1247,3.714220,0.000000,10.216100,0,"Auto","FreeLocal","Standard",88,"F","S",2,10764.600000,"N",
1248,9.646790,0.000000,158.337000,0,"CC","FreeLocal","Intnl_discount",46,"M","S",1,11416.700000,"N",
1249,3.604720,0.000000,11.148600,0,"CH","Budget","Standard",59,"M","M",0,77177.100000,"N",
1250,22.297300,0.000000,11.047800,0,"CC","FreeLocal","Standard",33,"F","M",2,29368.600000,"N",
1251,17.795400,0.000000,12.564900,1,"CC","FreeLocal","Standard",58,"F","M",2,29597.100000,"N",
1252,24.148400,0.000000,10.475400,1,"CC","Budget","Intnl_discount",38,"F","M",0,17499.200000,"N",
1253,0.493403,0.000000,51.830600,0,"CC","FreeLocal","Standard",49,"M","M",0,11131.600000,"Y",
1254,19.651900,0.000000,146.405000,0,"CC","Budget","Standard",80,"F","M",2,83890.700000,"N",
