id,vek,pohlavi,region,prijem,zenaty,deti,uver_auto,ucet_sporici,ucet_bezny,hypoteka,pep
ID12147,50,žena,centrum,13283.900000,ne,1.000000,ano,ano,ano,ne,ano
ID12148,29,muž,centrum,13106.600000,ne,2.000000,ne,ano,ano,ano,ano
ID12149,52,muž,centrum,39547.800000,ne,2.000000,ano,ne,ano,ne,ano
ID12150,47,žena,venkov,17867.300000,ano,2.000000,ano,ano,ne,ne,ne
ID12151,24,muž,malomìsto,14309.700000,ne,2.000000,ano,ano,ne,ne,ne
ID12152,36,muž,malomìsto,23894.800000,ano,0.000000,ne,ne,ne,ne,ne
ID12153,43,muž,malomìsto,16259.700000,ano,1.000000,ne,ano,ano,ne,ano
ID12154,48,muž,pøedmìstí,29794.100000,ne,1.000000,ne,ano,ano,ne,ano
ID12155,63,muž,malomìsto,56842.500000,ano,0.000000,ne,ano,ano,ano,ne
ID12156,52,žena,venkov,47835.800000,ne,3.000000,ne,ano,ne,ne,ano
ID12157,58,žena,centrum,24977.500000,ne,0.000000,ne,ne,ano,ne,ano
ID12158,28,muž,centrum,23124.900000,ano,0.000000,ne,ano,ano,ne,ano
ID12159,29,žena,centrum,15143.800000,ano,0.000000,ne,ne,ano,ne,ne
ID12160,34,muž,centrum,25334.300000,ne,1.000000,ano,ano,ano,ano,ano
ID12161,42,žena,centrum,24763.300000,ano,1.000000,ne,ano,ano,ano,ano
ID12162,65,žena,centrum,36589.000000,ne,1.000000,ano,ne,ano,ne,ano
ID12163,47,muž,centrum,27022.600000,ano,2.000000,ne,ano,ano,ne,ne
ID12164,20,muž,centrum,11700.400000,ano,0.000000,ne,ano,ne,ne,ne
ID12165,21,muž,malomìsto,5014.210000,ne,0.000000,ano,ano,ano,ano,ne
ID12166,42,muž,centrum,17390.100000,ano,0.000000,ne,ano,ano,ne,ne
ID12167,19,muž,malomìsto,10861.000000,ne,2.000000,ne,ano,ano,ne,ne
ID12168,41,žena,malomìsto,34892.900000,ne,0.000000,ne,ano,ano,ano,ne
ID12169,30,muž,malomìsto,19403.100000,ne,2.000000,ne,ano,ano,ne,ne
ID12170,31,žena,venkov,10441.900000,ano,2.000000,ne,ne,ano,ne,ano
ID12171,25,muž,centrum,14064.900000,ano,3.000000,ano,ano,ano,ne,ne
ID12172,21,muž,centrum,8062.730000,ne,0.000000,ne,ne,ano,ne,ano
ID12173,36,muž,centrum,31982.000000,ano,3.000000,ano,ano,ano,ano,ano
ID12174,58,žena,centrum,23197.500000,ano,2.000000,ne,ano,ne,ano,ne
ID12175,64,žena,centrum,52674.000000,ne,2.000000,ano,ano,ano,ne,ano
ID12176,59,žena,venkov,35610.500000,ne,2.000000,ano,ne,ne,ne,ano
ID12177,45,žena,malomìsto,26948.000000,ne,0.000000,ne,ano,ano,ano,ne
ID12178,61,muž,centrum,49456.700000,ano,1.000000,ano,ano,ano,ano,ano
ID12179,30,žena,centrum,14724.500000,ano,0.000000,ano,ne,ano,ne,ne
ID12180,58,žena,malomìsto,34524.900000,ano,2.000000,ano,ano,ne,ne,ano
ID12181,50,žena,malomìsto,22052.100000,ne,3.000000,ne,ano,ano,ne,ano
ID12182,30,muž,centrum,27808.100000,ne,3.000000,ne,ne,ano,ne,ne
ID12183,29,žena,centrum,12591.400000,ano,1.000000,ne,ano,ano,ne,ne
ID12184,35,muž,centrum,16394.400000,ano,1.000000,ne,ano,ano,ne,ano
ID12185,62,muž,centrum,24026.100000,ano,0.000000,ne,ne,ano,ano,ano
ID12186,36,muž,centrum,31683.100000,ano,1.000000,ano,ano,ano,ne,ano
ID12187,25,žena,centrum,15525.000000,ano,0.000000,ne,ano,ano,ne,ne
ID12188,66,žena,malomìsto,22562.200000,ne,0.000000,ano,ano,ano,ano,ne
ID12189,30,muž,pøedmìstí,15848.700000,ano,0.000000,ano,ano,ne,ano,ne
ID12190,54,žena,centrum,31095.600000,ano,2.000000,ne,ne,ano,ne,ano
ID12191,37,muž,malomìsto,24814.500000,ano,1.000000,ano,ne,ano,ano,ano
ID12192,28,žena,centrum,25429.300000,ne,2.000000,ne,ano,ano,ano,ne
ID12193,53,žena,venkov,34866.500000,ne,0.000000,ne,ne,ano,ne,ano
ID12194,61,muž,centrum,42579.100000,ano,2.000000,ano,ano,ano,ne,ne
ID12195,61,žena,centrum,41127.400000,ano,0.000000,ano,ano,ne,ne,ne
ID12196,18,žena,centrum,9990.110000,ano,0.000000,ne,ano,ano,ne,ne
ID12197,22,muž,centrum,7948.620000,ano,1.000000,ne,ne,ne,ano,ne
ID12198,34,muž,malomìsto,30870.800000,ano,2.000000,ano,ano,ano,ano,ano
ID12199,35,žena,centrum,12125.800000,ne,2.000000,ne,ano,ano,ne,ne
ID12200,18,žena,venkov,15348.900000,ano,0.000000,ano,ne,ano,ne,ne
ID12201,54,muž,centrum,26707.900000,ano,1.000000,ne,ano,ano,ano,ano
ID12202,27,žena,centrum,11604.400000,ano,2.000000,ano,ano,ano,ne,ne
ID12203,42,muž,centrum,15499.900000,ano,0.000000,ano,ne,ano,ano,ano
ID12204,43,muž,malomìsto,33088.500000,ne,0.000000,ne,ano,ano,ano,ne
ID12205,64,žena,centrum,34513.600000,ano,1.000000,ne,ano,ano,ne,ano
ID12206,43,muž,malomìsto,32395.500000,ano,3.000000,ano,ano,ano,ne,ne
ID12207,49,muž,venkov,46633.000000,ano,0.000000,ano,ano,ne,ne,ne
ID12208,23,muž,centrum,13039.900000,ano,0.000000,ne,ne,ano,ne,ne
ID12209,23,muž,centrum,12681.900000,ne,0.000000,ne,ano,ano,ne,ano
ID12210,30,žena,centrum,24031.500000,ano,2.000000,ano,ano,ano,ano,ne
ID12211,36,muž,malomìsto,37330.500000,ne,2.000000,ne,ano,ano,ne,ano
ID12212,34,muž,centrum,25333.200000,ano,3.000000,ano,ne,ne,ano,ne
ID12213,51,žena,centrum,37094.200000,ano,0.000000,ano,ne,ano,ne,ne
ID12214,36,muž,malomìsto,33630.600000,ne,2.000000,ano,ano,ano,ne,ano
ID12215,56,muž,centrum,43228.200000,ano,1.000000,ano,ano,ano,ne,ano
ID12216,54,žena,centrum,47796.800000,ano,0.000000,ne,ano,ano,ne,ne
ID12217,56,žena,malomìsto,21730.300000,ano,2.000000,ne,ano,ne,ne,ne
ID12218,26,muž,centrum,10044.100000,ano,3.000000,ne,ano,ano,ano,ne
ID12219,39,muž,malomìsto,17270.100000,ne,0.000000,ano,ne,ne,ne,ano
ID12220,64,žena,venkov,45765.000000,ano,3.000000,ano,ano,ano,ne,ano
ID12221,46,muž,venkov,29525.500000,ne,2.000000,ne,ano,ne,ano,ne
ID12222,62,žena,venkov,54863.800000,ano,1.000000,ano,ano,ano,ne,ano
ID12223,36,žena,malomìsto,20799.000000,ano,1.000000,ne,ano,ne,ano,ano
ID12224,35,žena,venkov,33028.300000,ne,1.000000,ne,ano,ano,ne,ano
ID12225,47,muž,venkov,45031.900000,ne,3.000000,ano,ano,ne,ne,ano
ID12226,47,muž,centrum,39010.800000,ano,2.000000,ne,ne,ano,ne,ano
ID12227,37,žena,malomìsto,25257.700000,ano,0.000000,ano,ano,ano,ne,ne
ID12228,48,žena,centrum,42603.900000,ano,0.000000,ne,ano,ano,ne,ne
ID12229,41,muž,malomìsto,14092.700000,ano,3.000000,ano,ano,ano,ne,ne
ID12230,27,žena,venkov,21350.300000,ne,0.000000,ano,ano,ano,ne,ano
ID12231,43,muž,centrum,23246.400000,ne,2.000000,ne,ne,ano,ne,ne
ID12232,61,muž,venkov,41609.500000,ano,3.000000,ne,ano,ano,ano,ne
ID12233,52,žena,pøedmìstí,16716.100000,ne,2.000000,ano,ano,ano,ne,ne
ID12234,64,žena,pøedmìstí,36436.400000,ano,0.000000,ano,ne,ano,ne,ne
ID12235,66,žena,malomìsto,59503.800000,ano,2.000000,ano,ano,ano,ano,ano
ID12236,53,žena,malomìsto,31334.800000,ano,1.000000,ano,ano,ano,ne,ano
ID12237,20,žena,centrum,14048.900000,ano,2.000000,ano,ne,ano,ano,ne
ID12238,57,žena,centrum,39205.300000,ne,0.000000,ne,ano,ano,ne,ano
ID12239,65,žena,venkov,42173.900000,ano,0.000000,ne,ano,ano,ne,ne
ID12240,64,žena,centrum,55263.000000,ne,1.000000,ne,ano,ano,ne,ano
ID12241,52,muž,centrum,37095.200000,ano,3.000000,ne,ano,ano,ne,ne
ID12242,47,žena,centrum,22791.400000,ano,0.000000,ne,ne,ano,ne,ne
ID12243,28,žena,malomìsto,17240.600000,ano,1.000000,ano,ne,ne,ano,ne
ID12244,64,muž,malomìsto,48974.800000,ano,0.000000,ano,ano,ano,ano,ne
ID12245,25,muž,centrum,18923.000000,ano,1.000000,ne,ano,ano,ne,ano
ID12246,58,muž,pøedmìstí,51204.200000,ano,0.000000,ne,ano,ne,ano,ano
ID12247,34,muž,malomìsto,20236.200000,ano,2.000000,ano,ne,ano,ne,ne
ID12248,20,žena,centrum,18860.300000,ne,2.000000,ne,ano,ano,ne,ne
ID12249,63,muž,venkov,25732.500000,ano,0.000000,ano,ano,ne,ne,ne
ID12250,30,žena,pøedmìstí,28240.400000,ano,3.000000,ano,ano,ano,ne,ne
ID12251,53,muž,venkov,28193.600000,ano,1.000000,ano,ano,ano,ne,ano
ID12252,43,muž,malomìsto,36432.800000,ne,2.000000,ano,ne,ano,ne,ano
ID12253,63,muž,malomìsto,54618.800000,ano,2.000000,ne,ano,ne,ano,ano
ID12254,33,muž,centrum,24760.800000,ano,1.000000,ne,ano,ano,ano,ano
ID12255,41,muž,venkov,23356.100000,ne,2.000000,ano,ne,ne,ne,ne
ID12256,20,žena,pøedmìstí,8143.750000,ano,2.000000,ne,ano,ano,ne,ano
ID12257,50,muž,malomìsto,26462.500000,ano,0.000000,ano,ano,ano,ne,ne
ID12258,24,muž,venkov,20467.300000,ano,2.000000,ano,ano,ano,ne,ne
ID12259,60,žena,malomìsto,21506.200000,ano,0.000000,ne,ne,ano,ne,ano
ID12260,44,žena,malomìsto,15315.300000,ano,1.000000,ne,ano,ano,ne,ano
ID12261,23,muž,centrum,18875.700000,ano,2.000000,ano,ano,ano,ne,ne
ID12262,40,žena,centrum,12977.200000,ano,0.000000,ne,ne,ne,ne,ne
ID12263,49,žena,malomìsto,20708.500000,ne,3.000000,ne,ne,ano,ne,ne
ID12264,21,žena,malomìsto,7549.380000,ne,1.000000,ano,ne,ano,ne,ne
ID12265,40,žena,centrum,24904.000000,ano,0.000000,ne,ne,ne,ne,ne
ID12266,26,muž,venkov,24071.800000,ano,1.000000,ne,ne,ano,ano,ano
ID12267,20,muž,malomìsto,9589.910000,ne,1.000000,ne,ano,ano,ano,ne
ID12268,24,muž,centrum,8562.860000,ne,1.000000,ne,ne,ne,ano,ne
ID12269,37,žena,malomìsto,26707.500000,ne,0.000000,ano,ano,ano,ne,ne
ID12270,56,muž,centrum,34020.500000,ano,0.000000,ne,ne,ano,ne,ne
ID12271,52,muž,centrum,49175.700000,ano,0.000000,ano,ano,ano,ne,ne
ID12272,22,muž,centrum,19726.300000,ano,2.000000,ne,ne,ano,ne,ne
ID12273,35,muž,centrum,24346.600000,ano,3.000000,ano,ano,ano,ne,ne
ID12274,34,muž,venkov,26999.400000,ano,1.000000,ano,ano,ano,ne,ano
ID12275,67,žena,malomìsto,41558.100000,ano,2.000000,ne,ano,ano,ne,ano
ID12276,58,žena,centrum,56340.300000,ne,0.000000,ne,ano,ano,ne,ano
ID12277,40,muž,malomìsto,37558.500000,ano,0.000000,ano,ano,ano,ne,ne
ID12278,41,žena,centrum,30099.300000,ano,0.000000,ano,ano,ano,ano,ano
ID12279,43,muž,centrum,15254.800000,ano,0.000000,ne,ne,ne,ne,ano
ID12280,63,muž,centrum,36086.100000,ano,2.000000,ne,ne,ano,ne,ano
ID12281,22,žena,centrum,17655.000000,ano,1.000000,ne,ano,ano,ano,ano
ID12282,60,muž,venkov,56658.900000,ne,0.000000,ne,ano,ano,ne,ano
ID12283,65,žena,centrum,37706.500000,ne,0.000000,ano,ano,ano,ano,ne
ID12284,48,žena,centrum,18516.000000,ano,2.000000,ano,ano,ano,ano,ne
ID12285,38,žena,centrum,29622.000000,ne,0.000000,ano,ano,ne,ano,ne
ID12286,49,muž,venkov,32669.900000,ano,1.000000,ano,ano,ano,ano,ano
ID12287,20,žena,centrum,18275.500000,ano,0.000000,ne,ne,ne,ano,ano
ID12288,48,žena,malomìsto,34410.000000,ano,1.000000,ne,ne,ano,ne,ano
ID12289,38,muž,centrum,34866.900000,ano,2.000000,ano,ne,ano,ano,ne
ID12290,41,žena,centrum,21796.600000,ano,0.000000,ne,ne,ano,ne,ne
ID12291,67,žena,pøedmìstí,63130.100000,ano,2.000000,ano,ano,ano,ne,ano
ID12292,39,muž,centrum,14996.400000,ano,1.000000,ano,ano,ne,ne,ne
ID12293,64,žena,venkov,49024.900000,ano,3.000000,ne,ano,ano,ne,ano
ID12294,41,muž,centrum,16249.800000,ano,0.000000,ano,ne,ano,ano,ano
ID12295,55,muž,pøedmìstí,36192.100000,ano,2.000000,ano,ne,ano,ne,ano
ID12296,52,muž,centrum,17839.900000,ano,1.000000,ne,ano,ne,ano,ano
ID12297,30,žena,centrum,18802.400000,ne,0.000000,ne,ne,ano,ano,ano
ID12298,52,muž,centrum,48720.300000,ano,2.000000,ano,ano,ano,ne,ano
ID12299,26,muž,centrum,14585.900000,ne,2.000000,ne,ne,ano,ano,ne
ID12300,26,žena,centrum,20819.000000,ano,0.000000,ne,ano,ano,ne,ano
ID12301,46,muž,malomìsto,26077.800000,ano,1.000000,ano,ano,ano,ne,ano
ID12302,46,žena,malomìsto,41627.100000,ano,0.000000,ne,ano,ano,ano,ne
ID12303,52,muž,centrum,16977.300000,ano,0.000000,ne,ne,ano,ne,ne
ID12304,37,muž,centrum,19012.800000,ne,3.000000,ano,ne,ano,ne,ne
ID12305,22,muž,centrum,12764.800000,ano,1.000000,ne,ano,ano,ano,ano
ID12306,18,muž,centrum,14388.600000,ne,0.000000,ano,ne,ano,ano,ano
ID12307,63,muž,centrum,59409.100000,ne,0.000000,ano,ano,ano,ne,ano
ID12308,25,žena,centrum,14960.200000,ano,0.000000,ne,ano,ano,ano,ne
ID12309,67,muž,centrum,39666.600000,ano,0.000000,ano,ano,ano,ne,ne
ID12310,27,muž,centrum,20771.900000,ne,0.000000,ne,ano,ne,ne,ano
ID12311,61,muž,centrum,24474.100000,ne,0.000000,ano,ne,ne,ne,ano
ID12312,58,muž,malomìsto,33123.700000,ano,1.000000,ano,ano,ano,ne,ano
ID12313,22,muž,centrum,14433.400000,ano,0.000000,ano,ano,ano,ne,ano
ID12314,28,muž,malomìsto,13175.500000,ne,1.000000,ne,ne,ano,ne,ano
ID12315,23,muž,centrum,9824.370000,ano,0.000000,ne,ano,ano,ne,ne
ID12316,27,muž,pøedmìstí,17610.300000,ano,0.000000,ne,ano,ano,ne,ne
ID12317,27,žena,pøedmìstí,15156.200000,ano,0.000000,ano,ne,ano,ne,ne
ID12318,40,žena,centrum,31774.100000,ano,3.000000,ano,ano,ano,ano,ne
ID12319,39,muž,malomìsto,31693.500000,ne,0.000000,ano,ano,ne,ne,ano
ID12320,35,žena,centrum,28598.700000,ano,0.000000,ano,ano,ano,ne,ne
ID12321,37,žena,centrum,26261.700000,ne,2.000000,ano,ne,ne,ne,ne
ID12322,47,muž,centrum,42124.100000,ano,2.000000,ne,ano,ano,ne,ano
ID12323,42,žena,centrum,39308.700000,ano,1.000000,ne,ano,ano,ne,ano
ID12324,67,žena,centrum,43530.000000,ano,0.000000,ne,ano,ano,ano,ne
ID12325,57,muž,venkov,49874.400000,ano,3.000000,ne,ano,ano,ne,ano
ID12326,47,žena,venkov,27434.800000,ne,0.000000,ano,ano,ano,ne,ano
ID12327,67,muž,centrum,50474.600000,ano,2.000000,ano,ano,ano,ne,ano
ID12328,56,muž,malomìsto,24888.200000,ne,0.000000,ne,ano,ano,ne,ano
ID12329,37,muž,venkov,28021.600000,ne,0.000000,ano,ne,ano,ano,ano
ID12330,27,muž,centrum,12279.500000,ne,0.000000,ano,ne,ne,ne,ano
ID12331,59,žena,centrum,30189.400000,ano,0.000000,ano,ne,ano,ano,ano
ID12332,31,muž,centrum,28969.400000,ne,1.000000,ne,ne,ano,ano,ne
ID12333,31,muž,pøedmìstí,14058.500000,ano,0.000000,ne,ne,ano,ano,ano
ID12334,32,žena,malomìsto,30404.300000,ano,0.000000,ano,ano,ano,ne,ne
ID12335,57,žena,venkov,41438.200000,ne,3.000000,ne,ano,ne,ne,ne
ID12336,49,žena,centrum,16711.300000,ne,1.000000,ne,ano,ano,ano,ano
ID12337,65,muž,malomìsto,52255.900000,ne,2.000000,ano,ano,ano,ne,ano
ID12338,22,žena,centrum,17866.900000,ano,2.000000,ne,ano,ano,ano,ne
ID12339,26,žena,venkov,18067.500000,ano,2.000000,ne,ano,ne,ne,ne
ID12340,23,muž,centrum,12823.700000,ano,0.000000,ano,ano,ano,ne,ne
ID12341,26,žena,venkov,11299.300000,ano,2.000000,ano,ne,ne,ne,ne
ID12342,59,žena,centrum,56031.100000,ne,0.000000,ano,ano,ano,ne,ano
ID12343,67,muž,centrum,35263.500000,ano,1.000000,ano,ano,ano,ne,ano
ID12344,34,žena,centrum,19968.100000,ano,0.000000,ano,ano,ano,ne,ne
ID12345,50,muž,venkov,27825.500000,ano,2.000000,ano,ano,ne,ne,ne
ID12346,46,muž,pøedmìstí,37773.900000,ne,0.000000,ano,ano,ano,ano,ne
ID12347,23,žena,centrum,7606.250000,ne,3.000000,ano,ne,ne,ne,ne
ID12348,26,muž,venkov,21384.400000,ano,0.000000,ne,ne,ano,ne,ne
ID12349,40,muž,malomìsto,20347.000000,ano,3.000000,ne,ano,ano,ne,ne
ID12350,36,muž,malomìsto,21332.300000,ano,3.000000,ano,ne,ano,ne,ne
ID12351,65,muž,centrum,57671.700000,ne,0.000000,ne,ano,ano,ano,ne
ID12352,45,žena,malomìsto,36057.800000,ano,1.000000,ano,ano,ano,ano,ano
ID12353,23,muž,centrum,14290.500000,ano,2.000000,ne,ne,ano,ano,ne
ID12354,42,žena,malomìsto,17882.900000,ano,1.000000,ne,ne,ne,ne,ano
ID12355,21,žena,venkov,10629.100000,ne,3.000000,ne,ano,ano,ano,ne
ID12356,62,žena,centrum,24262.800000,ne,0.000000,ano,ne,ano,ne,ano
ID12357,49,žena,pøedmìstí,26097.900000,ne,2.000000,ne,ano,ano,ne,ne
ID12358,28,žena,malomìsto,23371.000000,ano,2.000000,ne,ne,ano,ano,ne
ID12359,38,žena,malomìsto,21495.600000,ne,3.000000,ne,ne,ano,ano,ne
ID12360,36,muž,malomìsto,12166.900000,ne,0.000000,ne,ne,ne,ne,ne
ID12361,22,muž,pøedmìstí,17180.200000,ano,0.000000,ne,ano,ano,ne,ne
ID12362,40,žena,malomìsto,28882.300000,ano,1.000000,ne,ano,ano,ano,ano
ID12363,40,žena,malomìsto,21612.200000,ano,0.000000,ne,ne,ano,ne,ne
ID12364,60,žena,centrum,46358.400000,ano,0.000000,ano,ano,ano,ano,ne
ID12365,23,muž,centrum,19166.000000,ne,0.000000,ano,ano,ne,ne,ano
ID12366,21,muž,centrum,17921.800000,ano,1.000000,ano,ne,ne,ne,ano
ID12367,58,muž,malomìsto,33229.000000,ne,0.000000,ano,ano,ano,ne,ano
ID12368,48,žena,pøedmìstí,30396.100000,ne,0.000000,ne,ano,ano,ne,ano
ID12369,63,žena,malomìsto,34625.200000,ano,0.000000,ano,ne,ano,ne,ne
ID12370,20,muž,malomìsto,16672.800000,ne,3.000000,ano,ne,ano,ano,ne
ID12371,67,žena,pøedmìstí,60747.500000,ne,2.000000,ne,ano,ano,ano,ano
ID12372,62,žena,centrum,56394.300000,ne,0.000000,ano,ano,ano,ne,ano
ID12373,36,muž,malomìsto,13236.400000,ano,0.000000,ne,ano,ano,ne,ne
ID12374,31,muž,centrum,28409.400000,ano,1.000000,ano,ne,ano,ne,ano
ID12375,42,žena,centrum,27056.500000,ano,0.000000,ano,ano,ano,ne,ne
ID12376,18,muž,venkov,9362.580000,ano,0.000000,ano,ne,ano,ano,ano
ID12377,46,žena,pøedmìstí,28702.700000,ne,1.000000,ne,ano,ano,ano,ano
ID12378,25,muž,malomìsto,22366.100000,ano,1.000000,ano,ano,ano,ne,ano
ID12379,65,žena,venkov,24477.500000,ne,0.000000,ne,ano,ne,ano,ne
ID12380,40,muž,malomìsto,36972.400000,ano,1.000000,ne,ne,ano,ano,ano
ID12381,32,muž,centrum,22327.800000,ano,1.000000,ne,ne,ne,ne,ano
ID12382,18,žena,centrum,15610.200000,ano,0.000000,ne,ano,ano,ne,ne
ID12383,64,muž,centrum,54314.500000,ano,1.000000,ano,ano,ne,ne,ano
ID12384,43,žena,centrum,39175.800000,ano,3.000000,ne,ano,ano,ano,ne
ID12385,22,žena,centrum,13739.000000,ano,3.000000,ne,ano,ano,ne,ne
ID12386,25,muž,malomìsto,9485.840000,ano,0.000000,ne,ne,ne,ne,ne
ID12387,39,muž,centrum,24675.700000,ano,1.000000,ano,ano,ano,ano,ano
ID12388,58,žena,centrum,28253.600000,ano,3.000000,ne,ne,ano,ne,ne
ID12389,33,muž,centrum,14136.500000,ano,1.000000,ne,ano,ne,ne,ne
ID12390,52,žena,venkov,37162.100000,ano,1.000000,ano,ano,ano,ne,ano
ID12391,23,muž,centrum,13519.200000,ne,0.000000,ne,ano,ano,ne,ano
ID12392,44,žena,centrum,39253.600000,ne,0.000000,ano,ano,ne,ne,ano
ID12393,51,muž,venkov,46323.800000,ano,2.000000,ano,ano,ano,ano,ano
ID12394,26,žena,malomìsto,20950.700000,ano,0.000000,ne,ano,ano,ne,ne
ID12395,42,muž,malomìsto,22495.700000,ano,0.000000,ne,ano,ne,ano,ne
ID12396,34,muž,malomìsto,32548.900000,ano,0.000000,ano,ano,ano,ano,ne
ID12397,54,žena,venkov,24583.400000,ne,2.000000,ano,ano,ano,ano,ne
ID12398,18,muž,venkov,8639.240000,ano,2.000000,ne,ne,ne,ne,ne
ID12399,47,žena,centrum,17139.500000,ne,2.000000,ano,ne,ano,ne,ne
ID12400,24,žena,centrum,13667.700000,ano,0.000000,ne,ano,ano,ne,ne
ID12401,19,žena,centrum,8162.420000,ano,1.000000,ano,ano,ano,ano,ne
ID12402,37,žena,malomìsto,15349.600000,ano,0.000000,ne,ano,ne,ne,ne
ID12403,45,žena,malomìsto,29231.400000,ano,0.000000,ne,ano,ne,ne,ne
ID12404,49,muž,venkov,41462.300000,ano,3.000000,ne,ano,ano,ano,ne
ID12405,67,žena,venkov,57398.100000,ne,3.000000,ne,ano,ano,ne,ano
ID12406,35,žena,venkov,11520.800000,ano,0.000000,ne,ne,ano,ne,ne
ID12407,63,muž,centrum,52117.300000,ne,2.000000,ano,ano,ano,ne,ano
ID12408,38,muž,venkov,26281.400000,ne,0.000000,ano,ano,ano,ne,ano
ID12409,48,muž,malomìsto,25683.400000,ne,2.000000,ano,ano,ano,ne,ne
ID12410,28,žena,centrum,11920.700000,ne,1.000000,ne,ano,ano,ne,ne
ID12411,46,muž,malomìsto,30658.700000,ano,0.000000,ne,ano,ano,ne,ne
ID12412,66,muž,centrum,36646.400000,ne,1.000000,ne,ano,ano,ne,ano
ID12413,61,žena,malomìsto,30760.400000,ne,2.000000,ano,ne,ano,ne,ano
ID12414,18,žena,venkov,16109.900000,ne,2.000000,ano,ano,ano,ne,ne
ID12415,54,žena,malomìsto,18036.700000,ano,0.000000,ano,ano,ne,ne,ne
ID12416,45,muž,venkov,42628.300000,ne,0.000000,ano,ano,ano,ano,ne
